song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
My Band,D12,0.851,0.849,1,-3.383,0,0.0828,0.497,2.05e-06,0.116,0.844,120.014,298773,4
The Real Slim Shady,Eminem,0.949,0.661,5,-4.244,0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200,4
Águas De Março,Antônio Carlos Jobim,0.642,0.339,3,-15.503,1,0.14,0.854,0.0,0.105,0.491,143.418,212400,4
The Girl From Ipanema,Stan Getz,0.641,0.14,8,-16.79,1,0.039,0.867,0.00166,0.105,0.388,129.318,317987,4
"Paint It, Black",The Rolling Stones,0.464,0.795,1,-9.267,1,0.0926,0.0493,0.00244,0.399,0.612,158.691,202267,4
Sultans Of Swing,Dire Straits,0.733,0.794,5,-10.023,1,0.0307,0.0614,0.0367,0.33,0.931,148.174,348624,4
Space Raiders - Charlotte de Witte Remix,Eats Everything,0.749,0.731,4,-10.865,1,0.108,0.00314,0.867,0.111,0.0598,131.997,438720,4
In Silence,Amelie Lens,0.736,0.845,1,-12.017,1,0.0377,0.00548,0.901,0.111,0.198,128.009,393740,4
"Wiegenlied, Op. 49, No. 4 (Arr. for Cello and Piano) [Brahms Lullaby]",Johannes Brahms,0.184,0.00833,3,-33.503,1,0.0519,0.989,0.596,0.104,0.211,61.541,109800,3
Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1,Frédéric Chopin,0.387,0.0451,3,-24.698,1,0.0364,0.99,0.913,0.112,0.071,61.494,268427,4
